cancer_type,gene,cancer_type,genomic_dna_change,cancer_type
leukemia,          "symbol": "FBN2", leukemia,  "genomic_dna_change": "chr5:g.128338975C>A", leukemia,
leukemia,          "symbol": "MAGEC3", leukemia,  "genomic_dna_change": "chrX:g.141895515G>A", leukemia,
leukemia,          "symbol": "GRID1", leukemia,  "genomic_dna_change": "chr10:g.85869107A>G", leukemia,
leukemia,          "symbol": "GTF3C6", leukemia,  "genomic_dna_change": "chr6:g.110967620G>T", leukemia,
leukemia,          "symbol": "NMBR", leukemia,  "genomic_dna_change": "chr6:g.142088359G>A", leukemia,
leukemia,          "symbol": "RPL37", leukemia,  "genomic_dna_change": "chr5:g.40835238T>A", leukemia,
leukemia,          "symbol": "RIPK4", leukemia,  "genomic_dna_change": "chr21:g.41741871A>T", leukemia,
leukemia,          "symbol": "JAK3", leukemia,  "genomic_dna_change": "chr19:g.17826864C>T", leukemia,
leukemia,          "symbol": "TTPAL", leukemia,  "genomic_dna_change": "chr20:g.44489506C>T", leukemia,
leukemia,          "symbol": "ARHGAP33", leukemia,  "genomic_dna_change": "chr19:g.35787901C>A", leukemia,
leukemia,          "symbol": "CD163", leukemia,  "genomic_dna_change": "chr12:g.7486581T>A", leukemia,
leukemia,          "symbol": "AADACL3", leukemia,  "genomic_dna_change": "chr1:g.12719675C>T", leukemia,
leukemia,          "symbol": "TRHDE", leukemia,  "genomic_dna_change": "chr12:g.72272856A>G", leukemia,
leukemia,          "symbol": "MYO1F", leukemia,  "genomic_dna_change": "chr19:g.8551767G>A", leukemia,
leukemia,          "symbol": "COL4A4", leukemia,  "genomic_dna_change": "chr2:g.227077963C>T", leukemia,
leukemia,          "symbol": "CYP3A5", leukemia,  "genomic_dna_change": "chr7:g.99664056T>G", leukemia,
leukemia,          "symbol": "ANKRD30B", leukemia,  "genomic_dna_change": "chr18:g.14810006C>A", leukemia,
leukemia,          "symbol": "LAMP3", leukemia,  "genomic_dna_change": "chr3:g.183153745G>A", leukemia,
leukemia,          "symbol": "EPHB3", leukemia,  "genomic_dna_change": "chr3:g.184577914G>A", leukemia,
leukemia,          "symbol": "TTN", leukemia,  "genomic_dna_change": "chr2:g.178729510C>T", leukemia,
leukemia,          "symbol": "TRPV5", leukemia,  "genomic_dna_change": "chr7:g.142933583T>A", leukemia,
leukemia,          "symbol": "PCDHA5", leukemia,  "genomic_dna_change": "chr5:g.140823443C>T", leukemia,
leukemia,          "symbol": "PAK4", leukemia,  "genomic_dna_change": "chr19:g.39174985T>C", leukemia,
leukemia,          "symbol": "PRPF39", leukemia,  "genomic_dna_change": "chr14:g.45096098delATCAGA", leukemia,
leukemia,          "symbol": "MTHFD1", leukemia,  "genomic_dna_change": "chr14:g.64415464A>G", leukemia,
leukemia,          "symbol": "TMEM109", leukemia,  "genomic_dna_change": "chr11:g.60919844G>C", leukemia,
leukemia,          "symbol": "NLRX1", leukemia,  "genomic_dna_change": "chr11:g.119174018G>A", leukemia,
leukemia,          "symbol": "DSC2", leukemia,  "genomic_dna_change": "chr18:g.31091052A>C", leukemia,
leukemia,          "symbol": "OR5A1", leukemia,  "genomic_dna_change": "chr11:g.59443714C>T", leukemia,
leukemia,          "symbol": "COL4A4", leukemia,  "genomic_dna_change": "chr2:g.227077948C>T", leukemia,
leukemia,          "symbol": "KDM5A", leukemia,  "genomic_dna_change": "chr12:g.293006A>C", leukemia,
leukemia,          "symbol": "HECW1", leukemia,  "genomic_dna_change": "chr7:g.43311909C>T", leukemia,
leukemia,          "symbol": "AGAP7P", leukemia,  "genomic_dna_change": "chr10:g.46131343C>A", leukemia,
leukemia,          "symbol": "UBTF", leukemia,  "genomic_dna_change": "chr17:g.44207581T>C", leukemia,
leukemia,          "symbol": "KCNA4", leukemia,  "genomic_dna_change": "chr11:g.30011541C>A", leukemia,
leukemia,          "symbol": "PIP5KL1", leukemia,  "genomic_dna_change": "chr9:g.127927194G>A", leukemia,
leukemia,          "symbol": "RP1L1", leukemia,  "genomic_dna_change": "chr8:g.10611991G>A", leukemia,
leukemia,          "symbol": "HOXC9", leukemia,  "genomic_dna_change": "chr12:g.54002436C>T", leukemia,
leukemia,          "symbol": "ARHGAP4", leukemia,  "genomic_dna_change": "chrX:g.153910355C>T", leukemia,
leukemia,          "symbol": "LRP1", leukemia,  "genomic_dna_change": "chr12:g.57187437G>A", leukemia,
leukemia,          "symbol": "SPATC1", leukemia,  "genomic_dna_change": "chr8:g.144040901G>A", leukemia,
leukemia,          "symbol": "ASZ1", leukemia,  "genomic_dna_change": "chr7:g.117427416G>A", leukemia,
leukemia,          "symbol": "DMRTB1", leukemia,  "genomic_dna_change": "chr1:g.53464688C>T", leukemia,
leukemia,          "symbol": "OR4N3P", leukemia,  "genomic_dna_change": "chr15:g.22125943A>T", leukemia,
leukemia,          "symbol": "ATF7IP2", leukemia,  "genomic_dna_change": "chr16:g.10433623G>C", leukemia,
leukemia,          "symbol": "OR2A7", leukemia,  "genomic_dna_change": "chr7:g.144259413G>A", leukemia,
leukemia,          "symbol": "FZD9", leukemia,  "genomic_dna_change": "chr7:g.73434977G>A", leukemia,
leukemia,          "symbol": "DSCR3", leukemia,  "genomic_dna_change": "chr21:g.37267356G>A", leukemia,
leukemia,          "symbol": "OR5H14", leukemia,  "genomic_dna_change": "chr3:g.98149813G>A", leukemia,
leukemia,          "symbol": "EGFR", leukemia,  "genomic_dna_change": "chr7:g.55155850C>T", leukemia,
leukemia,          "symbol": "CHPF2", leukemia,  "genomic_dna_change": "chr7:g.151237406C>G", leukemia,
leukemia,          "symbol": "ADAMTS19", leukemia,  "genomic_dna_change": "chr5:g.129526334C>T", leukemia,
leukemia,          "symbol": "DDX41", leukemia,  "genomic_dna_change": "chr5:g.177514750G>C", leukemia,
leukemia,          "symbol": "PTEN", leukemia,  "genomic_dna_change": "chr10:g.87960907A>C", leukemia,
leukemia,          "symbol": "RIN1", leukemia,  "genomic_dna_change": "chr11:g.66335068C>T", leukemia,
leukemia,          "symbol": "PIKFYVE", leukemia,  "genomic_dna_change": "chr2:g.208288740C>T", leukemia,
leukemia,          "symbol": "USH2A", leukemia,  "genomic_dna_change": "chr1:g.215758643T>C", leukemia,
leukemia,          "symbol": "SELE", leukemia,  "genomic_dna_change": "chr1:g.169729507G>A", leukemia,
leukemia,          "symbol": "ZNF8", leukemia,  "genomic_dna_change": "chr19:g.58294124G>A", leukemia,
leukemia,          "symbol": "CREB3L3", leukemia,  "genomic_dna_change": "chr19:g.4171166C>T", leukemia,
leukemia,          "symbol": "IGHG1", leukemia,  "genomic_dna_change": "chr14:g.106369163G>A", leukemia,
leukemia,          "symbol": "PCDHB5", leukemia,  "genomic_dna_change": "chr5:g.141135445C>T", leukemia,
leukemia,          "symbol": "LIAS", leukemia,  "genomic_dna_change": "chr4:g.39460858C>A", leukemia,
leukemia,          "symbol": "OXCT2", leukemia,  "genomic_dna_change": "chr1:g.39769851C>T", leukemia,
leukemia,          "symbol": "PLCG2", leukemia,  "genomic_dna_change": "chr16:g.81908481G>A", leukemia,
leukemia,          "symbol": "OR2T4", leukemia,  "genomic_dna_change": "chr1:g.248362520A>T", leukemia,
leukemia,          "symbol": "GAB4", leukemia,  "genomic_dna_change": "chr22:g.16962631C>T", leukemia,
leukemia,          "symbol": "VWA3A", leukemia,  "genomic_dna_change": "chr16:g.22126245C>T", leukemia,
leukemia,          "symbol": "PCDH11Y", leukemia,  "genomic_dna_change": "chrY:g.5098831C>T", leukemia,
leukemia,          "symbol": "TPD52L3", leukemia,  "genomic_dna_change": "chr9:g.6329066G>A", leukemia,
